Atom Type,a,b,c
Mn,0.7528740000000003,0.285824,0.49884000000000006
Mn,0.005218999999999944,0.24499,0.285278
Mn,0.505219,0.25500999999999996,0.7147220000000001
Mn,0.24712599999999973,0.7858240000000001,0.0011599999999999389
Mn,0.0,0.0,0.5
Mn,0.25287400000000027,0.285824,0.0011599999999999389
Mn,0.505219,0.24499,0.21472200000000002
Mn,0.005218999999999944,0.25500999999999996,0.7852779999999999
Mn,0.7471259999999997,0.7858240000000001,0.49884000000000006
Mn,0.24712599999999973,0.7141759999999999,0.5011599999999999
Mn,0.0,0.0,0.0
Mn,0.4947810000000001,0.74499,0.285278
Mn,0.7528740000000003,0.21417599999999998,0.9988400000000001
Mn,0.7471259999999997,0.7141759999999999,0.9988400000000001
Mn,0.28448799999999996,0.993461,0.252228
Mn,0.28448799999999996,0.506539,0.752228
Mn,0.21551200000000004,0.4934609999999999,0.252228
Mn,0.784488,0.506539,0.747772
Mn,0.994781,0.75501,0.7147220000000001
Mn,0.994781,0.74499,0.21472200000000002
Mn,0.715512,0.4934609999999999,0.247772
Mn,0.0,0.5,0.0
Mn,0.0,0.5,0.5
Mn,0.21551200000000004,0.0065389999999999615,0.752228
Mn,0.784488,0.993461,0.247772
Mn,0.5,0.5,0.0
Mn,0.715512,0.0065389999999999615,0.747772
Mn,0.5,0.0,0.0
Mn,0.25287400000000027,0.21417599999999998,0.5011599999999999
Mn,0.4947810000000001,0.75501,0.7852779999999999
Mn,0.5,0.5,0.5
Mn,0.5,0.0,0.5
O,0.8642380000000001,0.649713,0.5874440000000002
O,0.5909580000000001,0.136576,0.8535060000000002
O,0.8642380000000001,0.850287,0.08744400000000008
O,0.8748810000000002,0.358926,0.9154100000000002
O,0.3591619999999999,0.087762,0.6298110000000002
O,0.9178670000000002,0.124202,0.143684
O,0.4090419999999999,0.636576,0.6464939999999998
O,0.3591619999999999,0.412238,0.12981100000000012
O,0.14660699999999993,0.418166,0.8718100000000002
O,0.5821329999999998,0.624202,0.143684
O,0.859162,0.412238,0.37018899999999977
O,0.13576199999999994,0.350287,0.4125559999999998
O,0.0909580000000001,0.36342399999999997,0.1464939999999998
O,0.14083800000000007,0.912238,0.12981100000000012
O,0.8533930000000001,0.918166,0.6281899999999998
O,0.14660699999999993,0.08183400000000002,0.3718100000000002
O,0.640838,0.587762,0.8701889999999998
O,0.9090419999999999,0.863424,0.3535060000000003
O,0.0909580000000001,0.136576,0.6464939999999998
O,0.6357619999999999,0.350287,0.08744400000000008
O,0.640838,0.912238,0.37018899999999977
O,0.8748810000000002,0.14107399999999998,0.41541000000000006
O,0.08213299999999979,0.624202,0.35631599999999997
O,0.5821329999999998,0.875798,0.643684
O,0.35339300000000007,0.581834,0.3718100000000002
O,0.35339300000000007,0.918166,0.8718100000000002
O,0.8533930000000001,0.581834,0.1281899999999998
O,0.9090419999999999,0.636576,0.8535060000000002
O,0.4178670000000002,0.124202,0.35631599999999997
O,0.14083800000000007,0.587762,0.6298110000000002
O,0.6357619999999999,0.14971299999999998,0.5874440000000002
O,0.859162,0.087762,0.8701889999999998
O,0.12511899999999976,0.8589260000000001,0.5845899999999998
O,0.6251189999999998,0.6410739999999999,0.41541000000000006
O,0.6251189999999998,0.8589260000000001,0.9154100000000002
O,0.37488100000000024,0.358926,0.5845899999999998
O,0.6466069999999999,0.08183400000000002,0.1281899999999998
O,0.4090419999999999,0.863424,0.1464939999999998
O,0.5909580000000001,0.36342399999999997,0.3535060000000003
O,0.9178670000000002,0.37579799999999997,0.643684
O,0.13576199999999994,0.14971299999999998,0.9125559999999998
O,0.4178670000000002,0.37579799999999997,0.856316
O,0.36423800000000006,0.850287,0.4125559999999998
O,0.12511899999999976,0.6410739999999999,0.08458999999999983
O,0.37488100000000024,0.14107399999999998,0.08458999999999983
O,0.6466069999999999,0.418166,0.6281899999999998
O,0.08213299999999979,0.875798,0.856316
O,0.36423800000000006,0.649713,0.9125559999999998
